Gene,BreastEarly_1,BreastEarly_2,BreastEarly_3,BreastMid_1,BreastMid_2,BreastMid_3,BreastLate_1,BreastLate_2,BreastLate_3,LungMetastasis_1,LungMetastasis_2,LungMetastasis_3
Wac,31,40,51,2,3,1,47,59,34,72,44,36
Wap,23,29,20,8,1,3,3,2,2,0,0,0
Wapl,62,72,59,2,1,2,52,52,50,59,44,35
Wars1,16,8,23,26,21,12,13,16,13,38,19,13
Wars2,2,8,4,0,0,0,6,7,4,11,5,2
Was,1,0,1,5,6,2,1,2,0,3,3,1
Wasf1,4,3,0,0,0,0,5,3,5,1,0,0
Wasf2,103,123,109,73,75,47,105,124,124,89,41,46
Wasf3,0,0,0,0,1,0,0,0,7,4,7,5
Washc1,7,12,14,12,11,5,11,5,9,18,10,10
Washc2,40,50,34,2,3,4,35,28,22,76,39,48
Washc3,7,5,5,2,2,2,9,4,4,4,2,2
Washc4,31,44,40,2,1,1,16,17,19,38,35,36
Washc5,14,22,21,13,12,13,27,24,25,17,10,12
Wasl,31,43,31,0,1,0,26,43,35,43,34,21
Wbp1,9,7,7,9,11,5,9,3,12,23,15,10
Wbp11,19,31,35,5,4,2,19,28,32,18,18,14
Wbp1l,48,50,39,25,21,17,48,48,41,85,40,38
Wbp2,27,24,16,28,22,18,27,29,22,29,18,12
Wbp4,11,15,11,0,1,1,8,15,10,16,8,9
Wbscr25,0,0,0,0,0,0,0,1,0,1,0,1
Wdcp,4,8,5,0,0,0,4,3,3,4,6,7
Wdfy1,23,27,22,8,8,4,17,14,19,23,15,15
Wdfy2,44,45,43,11,9,4,13,16,15,19,12,13
Wdfy3,78,97,56,42,43,34,57,47,64,344,186,172
Wdfy4,3,5,5,1,1,1,1,1,1,112,56,46
Wdhd1,1,9,9,1,1,0,4,6,2,6,3,1
Wdpcp,2,3,3,0,0,0,1,4,0,12,6,2
Wdr1,69,75,50,37,36,25,76,81,54,47,31,31
Wdr11,24,21,37,0,0,0,11,14,10,34,27,30
Wdr12,13,19,10,4,3,7,10,15,16,21,8,4
Wdr13,37,34,29,4,0,1,16,21,18,51,26,20
Wdr17,0,0,0,0,0,0,0,0,0,1,1,0
Wdr18,11,15,13,2,0,0,10,12,6,9,7,5
Wdr19,10,3,6,2,1,1,2,2,3,8,9,9
Wdr20,20,18,16,6,7,3,9,6,11,18,23,15
Wdr20rt,0,0,0,0,0,0,0,0,0,0,0,0
Wdr24,14,9,7,10,12,6,3,7,5,22,3,8
Wdr25,4,1,4,0,0,0,3,3,4,5,1,4
Wdr26,146,159,126,37,24,13,104,115,103,95,65,62
Wdr27,0,0,0,0,0,0,0,0,0,1,3,4
Wdr3,14,9,11,0,0,0,9,10,8,18,10,7
Wdr31,1,1,0,0,0,1,0,0,1,3,3,0
Wdr33,68,70,53,21,13,4,38,49,43,95,58,35
Wdr35,3,6,2,0,0,0,1,3,2,15,9,7
Wdr36,12,9,8,10,8,4,14,19,16,13,5,13
Wdr37,25,31,19,0,0,0,12,15,11,20,14,14
Wdr38,2,3,5,0,0,0,0,3,0,3,0,0
Wdr4,6,9,13,0,0,1,12,9,7,18,17,14
Wdr41,13,14,19,0,0,0,13,14,10,9,14,10
Wdr43,35,33,15,2,1,0,23,37,36,18,12,10
Wdr44,15,21,13,0,0,0,5,8,8,17,8,7
Wdr45,4,1,1,0,0,0,7,2,6,14,16,15
Wdr45b,7,18,11,0,0,0,18,11,15,8,3,2
Wdr46,12,16,17,1,0,0,27,23,16,15,13,11
Wdr46-ps,5,2,1,0,0,0,0,2,0,8,2,6
Wdr47,7,18,9,12,6,3,8,6,5,14,11,8
Wdr48,22,37,34,0,0,1,24,20,17,19,25,19
Wdr49,0,0,0,0,0,0,0,0,0,1,0,3
Wdr5,21,15,13,3,1,3,23,31,27,33,13,10
Wdr53,5,4,5,2,0,1,4,3,0,3,4,1
Wdr54,3,8,5,5,4,2,8,5,4,10,1,5
Wdr55,7,5,6,0,0,0,7,8,3,6,7,2
Wdr59,19,24,26,1,0,0,16,13,6,30,10,12
Wdr5b,4,1,4,0,0,0,0,2,2,2,1,2
Wdr6,30,32,36,11,9,6,23,24,14,24,17,19
Wdr62,20,22,10,3,1,1,12,14,7,23,8,9
Wdr7,16,18,13,5,6,3,8,9,7,44,29,25
Wdr70,9,7,11,1,0,0,6,5,5,18,12,2
Wdr72,16,12,8,1,2,1,0,2,7,7,1,5
Wdr73,2,3,6,0,0,0,5,2,5,12,6,5
Wdr74,5,7,5,0,0,0,9,7,6,9,4,4
Wdr75,9,13,8,1,1,1,6,8,7,10,6,11
Wdr76,10,25,8,7,7,3,4,10,7,5,5,3
Wdr77,11,12,4,4,3,2,18,6,5,2,1,1
Wdr81,26,29,20,11,8,5,23,20,17,84,56,44
Wdr82,37,41,28,18,12,11,27,27,19,32,15,17
Wdr83,6,2,7,0,18,10,13,4,2,6,5,7
Wdr83os,4,0,1,0,0,0,1,3,1,2,0,0
Wdr86,0,0,0,0,0,0,1,0,0,3,0,2
Wdr87-ps,0,1,0,1,0,1,0,0,0,0,0,0
Wdr88,0,0,0,0,0,0,0,0,0,0,0,0
Wdr89,0,0,0,0,0,0,0,0,0,1,0,0
Wdr90,22,26,26,0,0,0,22,18,18,57,36,20
Wdr91,6,13,11,1,1,0,3,9,14,51,29,17
Wdr93,0,0,1,0,0,0,0,1,0,1,3,2
Wdr95,0,0,0,0,0,0,0,0,1,5,3,4
Wdr97,9,15,10,0,1,0,3,3,1,14,9,10
Wdsub1,7,11,3,0,0,0,4,3,9,17,16,7
Wdtc1,36,26,33,15,13,7,38,41,34,32,15,16
Wee1,35,45,31,5,11,11,32,38,40,27,10,13
Wee2,0,0,0,0,1,1,0,0,0,0,0,0
Wfdc1,0,0,0,0,0,0,0,0,0,2,1,1
Wfdc12,0,0,0,9,7,2,0,0,22,0,0,0
Wfdc15b,0,0,0,0,0,0,0,0,0,0,0,0
Wfdc17,0,0,0,6,0,1,0,1,1,0,0,0
Wfdc18,168,170,159,117,120,84,93,117,149,2,0,1
Wfdc2,4,0,2,5,0,1,2,3,1,35,22,32
Wfdc3,4,5,4,0,0,0,3,2,5,0,0,0
Wfdc5,0,0,0,0,0,0,1,0,0,0,0,0
Wfdc6b,0,0,0,0,0,0,0,0,0,0,0,0
Wfdc8,0,0,0,0,0,0,0,0,0,1,0,0
Wfdc9,0,0,0,0,0,0,0,0,0,0,0,0
Wfikkn1,3,1,4,0,0,0,4,1,1,9,4,2
Wfikkn2,0,0,0,0,0,0,0,0,0,0,0,1
Wfs1,7,14,14,9,7,6,4,5,8,7,7,6
Whamm,19,17,15,2,0,0,22,15,12,53,36,21
Whrn,4,6,4,3,3,0,10,12,7,24,15,14
Wif1,0,0,0,6,5,3,6,3,3,1,1,2
Wipf1,6,9,3,26,22,10,11,13,15,21,13,16
Wipf2,41,37,32,13,29,17,22,24,22,52,32,28
Wipf3,0,1,1,0,1,1,0,0,3,14,11,12
Wipi1,43,51,31,22,22,11,30,28,28,16,14,15
Wipi2,46,44,49,9,6,4,46,34,43,41,13,21
Wiz,44,39,49,14,12,9,41,56,55,56,24,19
Wls,16,29,14,2,2,2,15,18,18,22,16,17
Wnk1,161,202,160,58,66,44,123,147,126,240,121,115
Wnk2,224,205,166,39,24,26,131,110,111,19,9,14
Wnk3,1,4,3,0,0,0,1,0,0,2,0,1
Wnk4,5,6,4,1,1,1,1,0,0,40,18,26
Wnt1,0,0,0,0,0,0,0,0,0,0,0,0
Wnt10a,0,0,0,0,2,0,3,2,1,0,0,0
Wnt10b,0,0,0,1,0,0,3,0,0,3,10,2
Wnt11,2,2,2,0,2,0,4,2,3,18,7,7
Wnt16,1,1,1,1,1,1,1,2,0,0,0,1
Wnt2,1,1,0,0,1,0,0,0,0,4,0,4
Wnt2b,2,2,2,7,10,5,2,2,1,7,0,1
Wnt3,0,0,0,0,0,0,0,0,1,0,0,0
Wnt3a,0,0,0,0,0,0,0,0,0,6,7,4
Wnt4,2,0,0,1,0,0,3,4,3,7,3,3
Wnt5a,5,2,3,5,3,1,30,22,32,11,6,6
Wnt5b,4,16,9,0,0,0,15,20,13,2,0,0
Wnt6,0,0,0,1,0,0,1,3,0,2,0,0
Wnt7a,0,0,0,0,0,0,0,1,0,3,2,5
Wnt7b,4,1,4,2,3,1,11,6,5,8,5,4
Wnt8a,0,0,0,0,0,0,0,0,0,0,0,0
Wnt8b,0,1,0,0,1,0,0,0,0,0,0,0
Wnt9a,1,3,1,0,1,1,0,6,2,2,0,3
Wnt9b,0,0,1,0,1,0,0,0,0,0,0,0
Wrap53,4,2,1,0,0,0,9,7,6,14,12,10
Wrap73,8,10,5,1,1,0,4,2,3,6,4,2
Wrn,9,10,14,8,2,3,9,8,10,16,11,12
Wrnip1,5,10,8,5,4,2,4,6,5,8,5,1
Wsb1,29,69,46,11,10,5,29,38,46,48,47,45
Wsb2,30,32,27,1,0,1,26,21,34,27,15,23
Wscd1,0,0,0,0,0,0,0,0,0,4,2,5
Wscd2,0,0,0,0,3,0,1,0,1,8,1,5
Wt1,0,1,0,1,1,0,0,0,0,5,0,3
Wt1os,0,0,0,0,0,0,0,0,0,2,0,0
Wtap,54,72,40,113,12,26,97,228,136,30,4,20
Wtip,13,12,5,7,6,3,10,18,17,41,24,24
Wwc1,110,134,105,19,26,8,125,106,73,288,157,156
Wwc2,70,53,55,10,11,6,45,53,41,142,95,94
Wwox,18,12,8,0,1,0,15,7,7,24,20,12
Wwp1,18,45,18,9,9,5,7,13,16,59,44,48
Wwp2,40,32,39,8,8,4,71,65,59,88,39,35
Wwtr1,38,43,45,13,10,4,33,49,41,31,29,27
Xab2,26,23,27,9,8,6,10,26,17,62,34,30
Xaf1,4,9,6,0,2,0,14,14,18,8,5,2
Xbp1,537,495,493,142,131,96,297,331,251,77,48,39
