gene,ppi_strength,degree,mcc,mcode_module,mcode_module_score,ppi_percentile,degree_percentile,mcc_percentile,mcode_percentile,combined_score
Itga9,3.271,5,13.0,MCODE_1,4.5,0.9795918367346939,0.9795918367346939,1.0,0.9591836734693877,0.9795918367346939
Actg1,4.175,6,9.0,MCODE_1,4.5,1.0,1.0,0.9387755102040817,0.9591836734693877,0.9744897959183674
Itga8,2.987,4,12.0,MCODE_1,4.5,0.9591836734693877,0.9489795918367347,0.9693877551020408,0.9591836734693877,0.9591836734693877
Itga3,2.814,4,12.0,MCODE_1,4.5,0.9387755102040817,0.9489795918367347,0.9693877551020408,0.9591836734693877,0.9540816326530612
Lama4,2.423,3,6.0,MCODE_1,4.5,0.9183673469387755,0.9183673469387755,0.9183673469387755,0.9591836734693877,0.9285714285714286
Rpl10,0.874,2,2.0,,0.0,0.8775510204081632,0.8979591836734694,0.8979591836734694,0.4489795918367347,0.7806122448979592
Cfl1,0.989,1,1.0,,0.0,0.8979591836734694,0.8061224489795918,0.8061224489795918,0.4489795918367347,0.7397959183673469
Atp8a1,0.74,1,1.0,,0.0,0.8469387755102041,0.8061224489795918,0.8061224489795918,0.4489795918367347,0.7270408163265306
B2m,0.74,1,1.0,,0.0,0.8469387755102041,0.8061224489795918,0.8061224489795918,0.4489795918367347,0.7270408163265306
Dpysl3,0.738,1,1.0,,0.0,0.8163265306122449,0.8061224489795918,0.8061224489795918,0.4489795918367347,0.7193877551020408
Cmya5,0.541,1,1.0,,0.0,0.7857142857142857,0.8061224489795918,0.8061224489795918,0.4489795918367347,0.7117346938775511
Pygm,0.541,1,1.0,,0.0,0.7857142857142857,0.8061224489795918,0.8061224489795918,0.4489795918367347,0.7117346938775511
Mrpl50,0.422,1,1.0,,0.0,0.7551020408163265,0.8061224489795918,0.8061224489795918,0.4489795918367347,0.7040816326530612
Ctdspl,0.401,1,1.0,,0.0,0.7346938775510204,0.8061224489795918,0.8061224489795918,0.4489795918367347,0.6989795918367347
AI506816,0,0,0.0,,0.0,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.4489795918367347,0.38010204081632654
Adamts10,0,0,0.0,,0.0,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.4489795918367347,0.38010204081632654
Adra1a,0,0,0.0,,0.0,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.4489795918367347,0.38010204081632654
Akap8l,0,0,0.0,,0.0,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.4489795918367347,0.38010204081632654
Als2cl,0,0,0.0,,0.0,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.4489795918367347,0.38010204081632654
Apcdd1,0,0,0.0,,0.0,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.4489795918367347,0.38010204081632654
Asb16,0,0,0.0,,0.0,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.4489795918367347,0.38010204081632654
Atg16l2,0,0,0.0,,0.0,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.4489795918367347,0.38010204081632654
Bmp1,0,0,0.0,,0.0,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.4489795918367347,0.38010204081632654
Cep131,0,0,0.0,,0.0,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.4489795918367347,0.38010204081632654
D17H6S56E-5,0,0,0.0,,0.0,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.4489795918367347,0.38010204081632654
Dop1b,0,0,0.0,,0.0,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.4489795918367347,0.38010204081632654
Fhod1,0,0,0.0,,0.0,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.4489795918367347,0.38010204081632654
Gm15564,0,0,0.0,,0.0,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.4489795918367347,0.38010204081632654
Gm22009,0,0,0.0,,0.0,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.4489795918367347,0.38010204081632654
Gm25395,0,0,0.0,,0.0,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.4489795918367347,0.38010204081632654
Hdac7,0,0,0.0,,0.0,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.4489795918367347,0.38010204081632654
Hspb7,0,0,0.0,,0.0,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.4489795918367347,0.38010204081632654
Ifi207,0,0,0.0,,0.0,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.4489795918367347,0.38010204081632654
Kbtbd11,0,0,0.0,,0.0,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.4489795918367347,0.38010204081632654
Kifc3,0,0,0.0,,0.0,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.4489795918367347,0.38010204081632654
Lars2,0,0,0.0,,0.0,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.4489795918367347,0.38010204081632654
Lmbr1l,0,0,0.0,,0.0,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.4489795918367347,0.38010204081632654
Lsr,0,0,0.0,,0.0,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.4489795918367347,0.38010204081632654
Magix,0,0,0.0,,0.0,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.4489795918367347,0.38010204081632654
Pdzd2,0,0,0.0,,0.0,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.4489795918367347,0.38010204081632654
Pfkfb2,0,0,0.0,,0.0,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.4489795918367347,0.38010204081632654
Phf1,0,0,0.0,,0.0,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.4489795918367347,0.38010204081632654
Pkd1,0,0,0.0,,0.0,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.4489795918367347,0.38010204081632654
Radil,0,0,0.0,,0.0,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.4489795918367347,0.38010204081632654
Ralgapa2,0,0,0.0,,0.0,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.4489795918367347,0.38010204081632654
Rprl3,0,0,0.0,,0.0,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.4489795918367347,0.38010204081632654
Shprh,0,0,0.0,,0.0,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.4489795918367347,0.38010204081632654
Spcs1,0,0,0.0,,0.0,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.4489795918367347,0.38010204081632654
Tbk1,0,0,0.0,,0.0,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.4489795918367347,0.38010204081632654
Tlx3,0,0,0.0,,0.0,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.4489795918367347,0.38010204081632654
